Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-26 00:00:00+05:30,579.8405530353436,590.0549373237736,572.8987302432993,585.8898315429688,654851,0.0,0.0
2025-05-27 00:00:00+05:30,586.881505844801,612.4174961915775,583.2618775104385,600.9635009765625,2537329,0.0,0.0
2025-05-28 00:00:00+05:30,601.7072837643179,604.1865061943316,585.0964934832264,587.1790161132812,1475802,0.0,0.0
2025-05-29 00:00:00+05:30,591.0465882538185,592.434976934026,577.1629435632925,590.4515991210938,1149964,0.0,0.0
2025-05-30 00:00:00+05:30,593.0300417926748,593.0300417926748,571.5103776688666,576.4192504882812,947852,0.0,0.0
2025-06-02 00:00:00+05:30,577.1629461078276,578.0554903387371,568.0889683625031,570.7665405273438,828820,0.0,0.0
2025-06-03 00:00:00+05:30,572.2045654481147,589.9558231454446,571.3120211175406,585.2453002929688,918452,0.0,0.0
2025-06-04 00:00:00+05:30,587.8732501090404,590.451677926719,578.1547096341484,586.2369995117188,1002418,0.0,0.0
2025-06-05 00:00:00+05:30,586.8815200280294,591.7408201895994,580.485114069356,582.2702026367188,716723,0.0,0.0
2025-06-06 00:00:00+05:30,581.2289031110562,592.0383375044559,575.1796243761883,586.8319702148438,1346736,0.0,0.0
2025-06-09 00:00:00+05:30,589.6086770719023,611.7729623216404,587.724504307085,602.4014892578125,1675168,0.0,0.0
2025-06-10 00:00:00+05:30,604.6823366196311,611.1778871296473,596.5504751326985,603.5418701171875,926163,0.0,0.0
2025-06-11 00:00:00+05:30,603.7402909746837,610.3846198191555,596.5009729020668,606.8641357421875,1368339,0.0,0.0
2025-06-12 00:00:00+05:30,614.8471572442186,628.4333081469674,592.0383110883847,597.2942504882812,2988102,0.0,0.0
2025-06-13 00:00:00+05:30,583.1131385562661,603.3931909398647,577.4604990871317,595.3604736328125,984375,0.0,0.0
2025-06-16 00:00:00+05:30,591.0466445088778,601.558523706771,586.7328215663209,595.9059448242188,672507,0.0,0.0
2025-06-17 00:00:00+05:30,594.914287174851,612.3184179514401,589.4103645077456,600.1702270507812,913065,0.0,0.0
2025-06-18 00:00:00+05:30,600.1701928490364,622.7806898659807,596.3025815511319,609.8887329101562,2407957,0.0,0.0
2025-06-19 00:00:00+05:30,608.9961531335651,613.9050254864258,598.3851299102349,604.0873413085938,996764,0.0,0.0
2025-06-20 00:00:00+05:30,603.9386025057657,608.054136077184,588.6169953119867,597.1951293945312,1718983,0.0,0.0
2025-06-23 00:00:00+05:30,590.9970298551256,595.9554745044212,583.1130907571677,592.9804077148438,495068,0.0,0.0
2025-06-24 00:00:00+05:30,602.8477912326797,614.7480597048926,595.5092681303236,601.7568969726562,877790,0.0,0.0
2025-06-25 00:00:00+05:30,604.8807576111748,609.8887752864024,599.971884631339,606.8641357421875,572553,0.0,0.0
2025-06-26 00:00:00+05:30,607.8557626599164,613.6571188888333,601.3105791800224,603.244384765625,707242,0.0,0.0
2025-06-27 00:00:00+05:30,604.9798487077094,633.6892567161558,599.4759869873492,601.65771484375,5034127,0.0,0.0
2025-06-30 00:00:00+05:30,606.8640798293372,609.194524707405,600.4676738405688,607.3599243164062,632801,0.0,0.0
2025-07-01 00:00:00+05:30,609.6903515914363,610.9299627733186,598.2363563764213,600.9635009765625,674863,0.0,0.0
2025-07-02 00:00:00+05:30,603.9385816306899,621.1939938884375,597.4430309945916,614.1033935546875,2237137,0.0,0.0
2025-07-03 00:00:00+05:30,617.6734369637102,634.6809266306725,611.3762363559524,631.7554321289062,1706467,0.0,0.0
2025-07-04 00:00:00+05:30,636.6643076931803,644.498674631402,623.3260791725348,640.2839965820312,2188053,0.0,0.0
2025-07-07 00:00:00+05:30,642.6144768123892,654.0189003977941,626.84659738315,631.8546752929688,1709765,0.0,0.0
2025-07-08 00:00:00+05:30,631.9042403577092,651.688447933517,630.2183569589282,634.7305297851562,1096462,0.0,0.0
2025-07-09 00:00:00+05:30,635.6726304790735,647.572898132348,633.7388248798383,637.9039306640625,844381,0.0,0.0
2025-07-10 00:00:00+05:30,641.9202762884919,646.0358098412764,637.0610365151134,641.9698486328125,575408,0.0,0.0
2025-07-11 00:00:00+05:30,642.6144465610083,648.5645803254621,631.9537902330286,638.4493408203125,1429829,0.0,0.0
2025-07-14 00:00:00+05:30,636.6643173617465,646.977906838576,633.6892504581868,643.6061401367188,541862,0.0,0.0
2025-07-15 00:00:00+05:30,644.5978159056623,660.6631889615045,644.5978159056623,655.3080444335938,1026049,0.0,0.0
2025-07-16 00:00:00+05:30,654.5147120093851,664.4316015852849,644.5978224334854,646.4820556640625,852401,0.0,0.0
2025-07-17 00:00:00+05:30,645.5895036969785,654.415559525497,642.6640092013757,645.73828125,343321,0.0,0.0
2025-07-18 00:00:00+05:30,646.5316435810176,669.5884124004118,645.0441101087987,662.2003173828125,2377757,0.0,0.0
2025-07-21 00:00:00+05:30,665.5224544038452,666.3654263588205,654.564303212306,660.1177978515625,431304,0.0,0.0
2025-07-22 00:00:00+05:30,661.4565611589064,667.2083452373183,649.754643097056,654.9114379882812,479788,0.0,0.0
2025-07-23 00:00:00+05:30,655.5063847237058,656.3989289745759,620.3014276016308,623.7723388671875,1299141,0.0,0.0
